ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,10.0,1.0,2.5,0.0,0.0,238,31.512605042016805,0.10294117647058686,44.22739787548586,40.50018948763989,1.0894614214818625,34.412691370534546
50,200,5.0,1.0,3.0,0.0,0.0,322,27.639751552795033,0.10559006211179936,61.39781275495355,51.873494537835285,1.0724845244985592,32.71459356173084
50,200,5.0,1.5,3.0,0.0,0.0,224,36.160714285714285,0.08482142857142651,33.36114244080797,36.93759420620932,1.0806965242352056,32.65948327095652
50,200,5.0,2.0,3.0,0.3,0.005,87,43.67816091954023,0.09195402298850407,14.259481182167733,19.140790296389326,1.1292080779774718,32.539299791679284
50,200,5.0,1.5,4.0,0.5,0.0,120,30.833333333333336,0.13055555555555629,27.849759301262434,26.560893835395067,1.1201721010965993,32.329518619008965
50,200,10.0,1.0,2.5,0.0,0.005,176,31.818181818181817,0.11363636363636188,36.059800870489326,36.03096055646099,1.1054010161994035,31.843650091613192
50,200,10.0,2.0,4.0,0.0,0.0,105,37.142857142857146,0.11428571428571463,21.680568010713497,25.43509380328842,1.1297043797004183,31.660124653985672
50,200,5.0,1.5,2.5,0.0,0.005,154,40.25974025974026,0.07359307359307467,19.04363752716174,24.33210443679961,1.0809747679635813,31.509477630082724
50,200,10.0,2.0,3.0,0.5,0.005,73,43.83561643835616,0.09589041095890248,12.47611159276596,18.899386529366833,1.1358711859115511,28.93734363138292
50,200,10.0,1.5,3.0,0.3,0.0,145,36.55172413793103,0.09655172413793045,24.61374457996226,31.22370467076686,1.098047229566621,28.813839080747986
50,200,10.0,1.0,2.5,0.3,0.005,154,31.818181818181817,0.11363636363636209,30.922292732713164,34.82450322923781,1.107709643041449,28.2528404189398
50,200,5.0,2.0,3.0,0.5,0.005,78,43.58974358974359,0.08974358974358879,12.308588862331792,19.02017836699434,1.1249442641819438,28.2083701902424
50,200,5.0,1.5,3.0,0.3,0.0,188,36.17021276595745,0.08510638297872432,27.466527702550934,35.34494337804931,1.0818020428802197,28.107843894872904
50,200,5.0,2.0,3.0,0.0,0.0,179,42.45810055865922,0.06145251396647924,18.00893036259714,29.03852304475133,1.0673766458700804,26.33140036463547
50,200,5.0,2.0,4.0,0.0,0.0,133,36.09022556390977,0.08270676691729369,17.982262498376443,25.43041231287466,1.0814566906060747,25.519991643520473
50,200,5.0,1.0,3.0,0.3,0.0,249,27.309236947791167,0.09236947791164307,35.743342322617686,38.48730626944677,1.062479016394228,25.36221677767239
50,200,10.0,1.0,4.0,0.3,0.0,156,23.076923076923077,0.1538461538461502,41.37879658471994,38.83596210267628,1.1129068023179676,24.5879142449628
50,200,5.0,2.0,2.5,0.0,0.0,217,46.54377880184332,0.04723502304147392,16.234535630401403,31.568650260541887,1.0555787198508813,23.9356649427772
50,200,10.0,1.0,2.5,0.5,0.005,131,31.297709923664126,0.09541984732824337,19.979783572244926,28.498933265680833,1.0915499277628746,21.94192550128675
50,200,10.0,2.0,3.0,0.0,0.005,86,43.02325581395349,0.07558139534883525,10.931535128318215,22.9512376695675,1.0992507731540684,20.491715481142332
50,200,10.0,2.0,3.0,0.3,0.005,79,43.037974683544306,0.07594936708860546,10.062417085085041,22.11097082280391,1.0999217064602504,19.586026105941748
50,200,10.0,1.0,4.0,0.0,0.0,167,22.75449101796407,0.1377245508981988,37.48853134128656,43.80101010477942,1.0944344768125445,19.475177573333852
50,200,5.0,2.0,2.5,0.5,0.0,144,46.52777777777778,0.046874999999999695,10.384173335052814,26.142262647033775,1.0531251022404744,18.481663804800142
50,200,5.0,2.0,4.0,0.5,0.0,97,36.08247422680412,0.0824742268041252,12.767400278036089,25.78760651837324,1.0820427716019358,17.86437183099186
50,200,5.0,1.0,4.0,0.5,0.0,167,22.15568862275449,0.1077844311377216,24.758111772649638,32.658991992086825,1.0699156868455657,16.79577298206526
50,200,5.0,1.0,2.5,0.5,0.005,143,30.76923076923077,0.07692307692307682,15.80055814226542,30.989511823749282,1.0665344674761528,15.688243897712141
50,200,5.0,2.0,2.5,0.3,0.0,180,46.111111111111114,0.03749999999999888,9.398198328296804,27.943132926443248,1.0406138095565869,15.508689326322909
50,200,5.0,1.0,2.5,0.0,0.0,357,30.252100840336134,0.0588235294117648,26.980533378337746,55.518241560950734,1.033633932969061,14.701795185487697
50,200,5.0,1.0,2.5,0.5,0.0,207,30.434782608695656,0.06521739130434746,17.891024307685434,38.071406699790735,1.0452048905162579,14.302319841895645
50,200,5.0,1.5,3.0,0.5,0.005,95,35.78947368421053,0.0736842105263153,10.643053647994183,28.55734123661397,1.0778296350139729,13.338401684473233
50,200,5.0,2.0,3.0,0.3,0.0,151,41.72185430463576,0.04304635761589349,8.802736228397755,28.157639473643144,1.0422302449967213,13.043226821166188
50,200,5.0,2.0,3.0,0.0,0.01,61,42.62295081967213,0.06557377049180227,6.336042107243878,23.212299822342132,1.079738985846484,11.634384063421868
50,200,10.0,1.0,3.0,0.5,0.005,114,27.192982456140353,0.08771929824561298,13.827213833135922,33.29593987568604,1.0738568856175355,11.292763759954353
50,200,5.0,1.0,2.5,0.3,0.0,272,30.14705882352941,0.0551470588235269,17.61884362712438,50.676327590230805,1.0323271181382843,10.481349783757404
50,200,5.0,1.0,2.5,0.3,0.005,181,30.386740331491712,0.06353591160220766,14.788131374281566,44.46684352179739,1.0440866544300387,10.105576930325727
50,200,5.0,2.0,2.5,0.0,0.01,69,46.3768115942029,0.043478260869564744,4.358659803212328,20.285282255661546,1.0534143625722474,9.964896812830244
